STUDYNO,EDITION,PART,IDNO,FIPS_ST,FIPS_CTY,SPOPARST,SPOPCRIM,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,SVIOL,SPROPERTY,SMURDER,SRAPE,SROBBERY,SAGASSLT,SBURGLRY,SLARCENY,SMVTHEFT,SARSON
9999,1,8,1700,31,55,1907116,1847434,554613,8,7,100,2,3,0,0,0,2,0,3,0,0
9999,1,8,1701,31,57,1907116,1847434,1757,2,2,33.3333,0,0,0,0,0,0,0,0,0,0
9999,1,8,1702,31,59,1907116,1847434,5560,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1703,31,61,1907116,1847434,2933,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1704,31,63,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1705,31,65,1907116,1847434,4836,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1706,31,67,1907116,1847434,20383,4,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1707,31,69,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1708,31,71,1907116,1847434,2023,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1709,31,73,1907116,1847434,1957,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1710,31,75,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1711,31,77,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1712,31,79,1907116,1847434,62172,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1713,31,81,1907116,1847434,9190,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1714,31,83,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1715,31,85,1907116,1847434,926,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1716,31,87,1907116,1847434,2875,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1717,31,89,1907116,1847434,10270,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1718,31,91,1907116,1847434,731,2,2,100,0,0,0,0,0,0,0,0,0,0
