year,crime_type,agency,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
2017,violent-crime,SD0110000,Charles Mix County Sheriff's Office,CHARLES MIX,SD,South Dakota,43.206185,-98.595143,0,3,2,2,2,1,0,0,0,0,0,10
2017,property-crime,SD0540000,Roberts County Sheriff's Office,ROBERTS,SD,South Dakota,45.623397,-96.947551,0,5,4,4,0,0,0,0,0,0,0,13
2017,violent-crime,SD0540000,Roberts County Sheriff's Office,ROBERTS,SD,South Dakota,45.623397,-96.947551,0,0,2,1,0,0,0,0,0,0,0,3
2017,property-crime,SD0480000,Miner County Sheriff's Office,MINER,SD,South Dakota,44.021541,-97.608122,0,0,0,0,0,0,0,0,0,0,0,0
2017,property-crime,SD0050000,Brookings County Sheriff's Office,BROOKINGS,SD,South Dakota,44.302963,-96.793625,0,2,7,4,2,1,0,0,0,0,0,16
2017,violent-crime,SD0050000,Brookings County Sheriff's Office,BROOKINGS,SD,South Dakota,44.302963,-96.793625,0,2,1,3,0,3,0,0,0,0,0,9
2017,property-crime,SD0320100,Pierre Police Department,HUGHES,SD,South Dakota,44.354984,-100.30259,0,107,114,55,31,15,5,2,0,0,1,330
2017,violent-crime,SD0320100,Pierre Police Department,HUGHES,SD,South Dakota,44.354984,-100.30259,0,8,18,13,5,2,0,1,0,0,1,48
2017,property-crime,SD0620000,Turner County Sheriff's Office,TURNER,SD,South Dakota,43.30867,-97.150185,0,14,3,9,5,1,2,0,0,0,0,34
2017,violent-crime,SD0620000,Turner County Sheriff's Office,TURNER,SD,South Dakota,43.30867,-97.150185,0,1,1,3,2,1,0,0,0,0,0,8
2017,property-crime,SD0400100,Deadwood Police Department,LAWRENCE,SD,South Dakota,44.375916,-103.72907,0,0,1,2,0,1,0,0,0,0,0,4
2017,violent-crime,SD0400100,Deadwood Police Department,LAWRENCE,SD,South Dakota,44.375916,-103.72907,0,0,0,4,0,1,0,0,0,0,0,5
2017,property-crime,SD0230200,Hot Springs Police Department,FALL RIVER,SD,South Dakota,43.431904,-103.477066,0,12,6,6,3,3,1,1,1,0,1,34
2017,violent-crime,SD0230200,Hot Springs Police Department,FALL RIVER,SD,South Dakota,43.431904,-103.477066,0,1,1,0,0,0,0,0,0,0,0,2
2017,property-crime,SD0490200,Sioux Falls Police Department,LINCOLN; MINNEHAHA,SD,South Dakota,43.553837,-96.73019,4,694,833,725,328,192,33,8,1,0,47,2865
