crime_type,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
property-crime,State Police: New Castle County,NEW CASTLE,DE,Delaware,39.575915,-75.644132,7,564,1094,1121,573,265,48,5,0,0,1248,4925
violent-crime,State Police: New Castle County,NEW CASTLE,DE,Delaware,39.575915,-75.644132,5,126,179,121,45,32,5,2,3,0,126,644
property-crime,University of Delaware,NEW CASTLE,DE,Delaware,39.67637,-75.75021,0,23,21,8,2,4,0,0,0,0,50,108
violent-crime,University of Delaware,NEW CASTLE,DE,Delaware,39.67637,-75.75021,0,1,1,1,0,0,0,0,0,0,0,3
property-crime,Double Oak Police Department,DENTON,TX,Texas,33.062622,-97.095955,0,3,8,8,1,0,0,0,0,0,18,38
violent-crime,Double Oak Police Department,DENTON,TX,Texas,33.062622,-97.095955,0,1,0,0,1,1,0,0,0,0,0,3
property-crime,Georgetown Police Department,WILLIAMSON,TX,Texas,30.636447999999998,-97.680916,1,122,89,75,27,20,9,1,1,0,12,357
violent-crime,Georgetown Police Department,WILLIAMSON,TX,Texas,30.636447999999998,-97.680916,1,31,21,14,9,3,2,0,0,0,4,85
property-crime,Murphy Police Department,COLLIN,TX,Texas,33.016426,-96.612785,0,39,27,18,9,6,2,0,0,0,62,163
violent-crime,Murphy Police Department,COLLIN,TX,Texas,33.016426,-96.612785,0,4,0,1,1,0,0,0,0,0,0,6
property-crime,Jackson County Sheriff's Office,JACKSON,TX,Texas,28.97839,-96.646736,0,3,6,6,1,1,2,0,0,0,1,20
violent-crime,Jackson County Sheriff's Office,JACKSON,TX,Texas,28.97839,-96.646736,0,3,1,2,1,0,0,0,0,0,1,8
